,REF,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating,matches,company,COMPANY NAME,CITY,STATE,OWNER/MAKER
15,1133,Altus aka Cao Artisan,U.S.A.,2013,Peru,"Peru, batch 148",0.6,"4- B,S,C,L","gritty, too sweet, fruit",3.25,"('Altus aka Cao Artisan', 100)",Altus aka Cao Artisan,Altus aka Cao Artisan,Bedford,Virginia,Carl and Mary Matice
16,1728,Altus aka Cao Artisan,U.S.A.,2016,Nicaragua,Momotombo,0.6,"3- B,S,C","powdery, sweet, molasses",2.75,"('Altus aka Cao Artisan', 100)",Altus aka Cao Artisan,Altus aka Cao Artisan,Bedford,Virginia,Carl and Mary Matice
17,1728,Altus aka Cao Artisan,U.S.A.,2016,Peru,Acopagro,0.6,"3- B,S,C","dry, sweet, caramel",3.0,"('Altus aka Cao Artisan', 100)",Altus aka Cao Artisan,Altus aka Cao Artisan,Bedford,Virginia,Carl and Mary Matice
18,1732,Altus aka Cao Artisan,U.S.A.,2016,Bolivia,CIAAB Coop,0.6,"3- B,S,C","sandy, sweet, pungent",2.5,"('Altus aka Cao Artisan', 100)",Altus aka Cao Artisan,Altus aka Cao Artisan,Bedford,Virginia,Carl and Mary Matice
19,1732,Altus aka Cao Artisan,U.S.A.,2016,Peru,Villa Andina,0.6,"3- B,S,C","sandy, sweet, sour, off",2.5,"('Altus aka Cao Artisan', 100)",Altus aka Cao Artisan,Altus aka Cao Artisan,Bedford,Virginia,Carl and Mary Matice
20,1732,Altus aka Cao Artisan,U.S.A.,2016,Ecuador,Gruppo Salinas,0.6,"3- B,S,C","sandy, nutty, earthy, roasty",2.75,"('Altus aka Cao Artisan', 100)",Altus aka Cao Artisan,Altus aka Cao Artisan,Bedford,Virginia,Carl and Mary Matice
21,2044,Altus aka Cao Artisan,U.S.A.,2018,Dominican Republic,Oko Caribe,0.7,"3- B,S,C","sweet, coarse, nutty",3.0,"('Altus aka Cao Artisan', 100)",Altus aka Cao Artisan,Altus aka Cao Artisan,Bedford,Virginia,Carl and Mary Matice
22,129,Amano,U.S.A.,2007,Madagascar,Madagascar,0.7,"4- B,S,C,V","spice, nut, cocoa, fruit",3.5,"('Amano', 100)",Amano,Amano,Orem,Utah,Art Pollard
23,147,Amano,U.S.A.,2007,Venezuela,Cuyagua,0.7,"4- B,S,C,V","waxy, nutty, mint",3.0,"('Amano', 100)",Amano,Amano,Orem,Utah,Art Pollard
24,175,Amano,U.S.A.,2007,Venezuela,Ocumare,0.7,"4- B,S,C,V","spicy, strawberry",3.75,"('Amano', 100)",Amano,Amano,Orem,Utah,Art Pollard
25,304,Amano,U.S.A.,2008,Indonesia,"Bali, Jembrana",0.7,"4- B,S,C,V","sticky, nutty, high acidity",2.75,"('Amano', 100)",Amano,Amano,Orem,Utah,Art Pollard
26,363,Amano,U.S.A.,2009,Venezuela,Montanya,0.7,"4- B,S,C,V","hot spice, roasty",3.0,"('Amano', 100)",Amano,Amano,Orem,Utah,Art Pollard
27,470,Amano,U.S.A.,2010,Dominican Republic,Dos Rios,0.7,"4- B,S,C,V","orange, cinamon",3.75,"('Amano', 100)",Amano,Amano,Orem,Utah,Art Pollard
28,470,Amano,U.S.A.,2010,Ecuador,Guayas,0.7,"4- B,S,C,V","strong spice, intense pepper",4.0,"('Amano', 100)",Amano,Amano,Orem,Utah,Art Pollard
29,544,Amano,U.S.A.,2010,Venezuela,Chuao,0.7,"4- B,S,C,V","woody, red berry, sour",3.0,"('Amano', 100)",Amano,Amano,Orem,Utah,Art Pollard
30,725,Amano,U.S.A.,2011,Papua New Guinea,Morobe,0.7,"4- B,S,C,V","tart, lemon, smoke",4.0,"('Amano', 100)",Amano,Amano,Orem,Utah,Art Pollard
31,1259,Anahata,U.S.A.,2014,Dominican Republic,Elvesia,0.75,"2- B,S","chalky, mild fruit, burnt",3.0,"('Anahata', 100)",Anahata,Anahata,Edison,New Jersey,Melanie Flores
32,1852,Animas,U.S.A.,2016,Bolivia,Alto Beni,0.75,"2- B,S","light roast, caramel, cocoa",3.5,"('Animas', 100)",Animas,Animas,Durango,Colorado,Carley Snider
33,2586,Animas,U.S.A.,2021,Belize,"Maya Mountain, batch 39",0.75,"2- B,S","burnt toast, cherry",3.0,"('Animas', 100)",Animas,Animas,Durango,Colorado,Carley Snider
34,2586,Animas,U.S.A.,2021,Guatemala,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",0.75,"2- B,S","orange citrus, harsh earthiness",3.25,"('Animas', 100)",Animas,Animas,Durango,Colorado,Carley Snider
35,1534,Arete,U.S.A.,2015,Brazil,Fazenda Camboa,0.7,"2- B,S","creamy, rich, rum, roasty",3.5,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
36,1534,Arete,U.S.A.,2015,Peru,Nacional,0.68,"2- B,S","floral, nutty, rich cocoa",3.5,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
37,1534,Arete,U.S.A.,2015,Ecuador,"Puerto Quito, heirloom",0.7,"2- B,S","spicy, cocoa",3.75,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
38,1598,Arete,U.S.A.,2015,Dominican Republic,Oko Caribe,0.7,"2- B,S","spicy, brownie, nutty",3.5,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
39,1598,Arete,U.S.A.,2015,Belize,Maya Mountain,0.7,"2- B,S","floral, strawberry, metallic",3.75,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
40,1598,Arete,U.S.A.,2015,Nicaragua,Chuno,0.7,"2- B,S","creamy,sticky, peanut butter",4.0,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
41,1602,Arete,U.S.A.,2015,Brazil,Fazenda Camboa,0.75,"2- B,S","floral, chemical off",2.75,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
42,1602,Arete,U.S.A.,2015,Guatemala,Guatemala,0.7,"2- B,S","strawberry, butterscotch, off",3.25,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
43,1602,Arete,U.S.A.,2015,Ecuador,Camino Verde,0.75,"3- B,S,C","intense, floral, bourbon",3.5,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
44,1724,Arete,U.S.A.,2016,Trinidad,San Juan,0.7,"2- B,S","delicate, simple",3.5,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
45,1724,Arete,U.S.A.,2016,Tanzania,Kokoa Kamili,0.7,"2- B,S","appealing smoke, woody",3.75,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
46,1900,Arete,U.S.A.,2016,Vietnam,Tien Giang,0.73,"3- B,S,C","cashew, roasty, chunky melt",3.5,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
47,1904,Arete,U.S.A.,2016,Ecuador,Hacienda Victoria,0.7,"3- B,S,C","sticky, floral, roasty",3.25,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
48,1904,Arete,U.S.A.,2016,Ecuador,Costa Esmeraldas,0.7,"3- B,S,C","chewy, mild floral",3.25,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
49,1904,Arete,U.S.A.,2016,Guatemala,Lachua,0.7,"2- B,S","subtle, mysterious",3.5,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
50,1904,Arete,U.S.A.,2016,Nicaragua,Rugoso,0.7,"3- B,S,C","muddy, rich cocoa, raspberry",3.75,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
51,1908,Arete,U.S.A.,2016,Honduras,"La Masica, FHIA",0.7,"2- B,S","nutty, green",3.5,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
52,1908,Arete,U.S.A.,2016,Costa Rica,"Coto Brus, Terciopelo",0.7,"2- B,S","balanced, cherry, choco",4.0,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
53,1924,Arete,U.S.A.,2016,Peru,Phantom,0.7,"2- B,S","creamy, complex, balanced",4.0,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
54,1928,Arete,U.S.A.,2016,Fiji,Matasawalevu,0.7,"2- B,S","smoke, hammy, cocoa base",3.25,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
55,1928,Arete,U.S.A.,2016,Vietnam,Lam Dong,0.73,"2- B,S","earthy, nutty, cardboard",3.25,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
56,1928,Arete,U.S.A.,2016,Dominican Republic,Elvesia,0.7,"2- B,S","dark berry, chocolatey",3.75,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
57,2020,Arete,U.S.A.,2017,India,Anamalai,0.7,"2- B,S","slight roasty, basic cocoa",3.5,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
58,2020,Arete,U.S.A.,2017,Madagascar,Sambirano Valley,0.7,"3- B,S,C",sour fruit,3.5,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
59,2020,Arete,U.S.A.,2017,Vietnam,Ben Tre,0.73,"3- B,S,C","rich cocoa, mild roasty",3.5,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
60,2024,Arete,U.S.A.,2017,Bolivia,Beniano,0.7,"2- B,S","creamy, bright fruit",4.0,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
61,2028,Arete,U.S.A.,2017,Peru,Ucayali,0.7,"3- B,S,C","dried fruit, fig, anise",3.5,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
62,2028,Arete,U.S.A.,2017,Haiti,Pisa,0.7,"2- B,S","long lasting, cocoa",4.0,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
63,2068,Arete,U.S.A.,2018,Trinidad,Ramnath E.,0.7,"2- B,S","nuts, dried fruit, short",3.0,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
64,2254,Arete,U.S.A.,2018,Colombia,Tumaco,0.7,"2- B,S","smooth, nutty, cocoa",4.0,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
65,2330,Arete,U.S.A.,2019,India,Jangareddygudem,0.7,"3- B,S,C","herbs, mushroom, acidic",3.25,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
66,2450,Arete,U.S.A.,2019,India,Idukki,0.7,"3- B,S,C","burn butterscotch, rubbery",3.0,"('Arete', 100)",Arete,Arete,Spencer,Tennessee,David and Leslie Senk
67,141,Askinosie,U.S.A.,2007,Mexico,Xoconusco,0.75,"2- B,S","leather, black licorice, off",2.5,"('Askinosie', 100)",Askinosie,Askinosie,Springfield,Missouri,Shawn Askinosie
68,175,Askinosie,U.S.A.,2007,Ecuador,San Jose del Tambo,0.7,"2- B,S","smooth, astringent, cocoa",3.0,"('Askinosie', 100)",Askinosie,Askinosie,Springfield,Missouri,Shawn Askinosie
69,331,Askinosie,U.S.A.,2009,Philippines,Davao,0.77,"2- B,S","strawberries, mild tart, roasty",3.75,"('Askinosie', 100)",Askinosie,Askinosie,Springfield,Missouri,Shawn Askinosie
70,647,Askinosie,U.S.A.,2011,Tanzania,"Tenende, Uwate",0.72,"2- B,S","creamy, woody, cocoa",3.75,"('Askinosie', 100)",Askinosie,Askinosie,Springfield,Missouri,Shawn Askinosie
71,661,Askinosie,U.S.A.,2011,Honduras,Cortes,0.7,"2- B,S","grapes, woody, roasty",3.75,"('Askinosie', 100)",Askinosie,Askinosie,Springfield,Missouri,Shawn Askinosie
72,1780,Askinosie,U.S.A.,2016,Tanzania,Mababa,0.68,"3- B,S,C","creamy, rich, blueberry",3.75,"('Askinosie', 100)",Askinosie,Askinosie,Springfield,Missouri,Shawn Askinosie
73,2290,Bankston,U.S.A.,2019,Belize,Belize,0.72,"3- B,S,C","gritty, fatty, sour, off",2.5,"('Bankston', 100)",Bankston,Bankston,Spring Lake Heights,New Jersey,Tom and Leah Barlow
74,2294,Bankston,U.S.A.,2019,Uganda,Uganda,0.82,"3- B,S,C","bitter, fatty, mild fruit",2.75,"('Bankston', 100)",Bankston,Bankston,Spring Lake Heights,New Jersey,Tom and Leah Barlow
75,2294,Bankston,U.S.A.,2019,Tanzania,Kokoa Kamili,0.72,"3- B,S,C","base cocoa, mild fruit, roasty",3.25,"('Bankston', 100)",Bankston,Bankston,Spring Lake Heights,New Jersey,Tom and Leah Barlow
76,983,Bar Au Chocolat,U.S.A.,2012,Dominican Republic,Duarte Province,0.7,"2- B,S","complex,black pepper,coffee",3.25,"('Bar Au Chocolat', 100)",Bar Au Chocolat,Bar Au Chocolat,Manhattan Beach,California,Nicole Trutanich
77,983,Bar Au Chocolat,U.S.A.,2012,Mexico,Chiapas,0.7,"2- B,S","molasses,toffee,coffee grounds",3.5,"('Bar Au Chocolat', 100)",Bar Au Chocolat,Bar Au Chocolat,Manhattan Beach,California,Nicole Trutanich
78,983,Bar Au Chocolat,U.S.A.,2012,Madagascar,Sambirano,0.7,"2- B,S","raspberry, mild sour",3.75,"('Bar Au Chocolat', 100)",Bar Au Chocolat,Bar Au Chocolat,Manhattan Beach,California,Nicole Trutanich
79,1295,Bar Au Chocolat,U.S.A.,2014,Peru,Maranon Canyon,0.7,"2- B,S","creamy, rounded, orange",4.0,"('Bar Au Chocolat', 100)",Bar Au Chocolat,Bar Au Chocolat,Manhattan Beach,California,Nicole Trutanich
80,1554,Bar Au Chocolat,U.S.A.,2015,Brazil,Bahia,0.7,"2- B,S","intense, smokey, dried fruit",3.5,"('Bar Au Chocolat', 100)",Bar Au Chocolat,Bar Au Chocolat,Manhattan Beach,California,Nicole Trutanich
81,1980,Bar Au Chocolat,U.S.A.,2017,Costa Rica,"Turrialba, Cartago P.",0.72,"2- B,S","slightly dry, cocoa, berry",3.5,"('Bar Au Chocolat', 100)",Bar Au Chocolat,Bar Au Chocolat,Manhattan Beach,California,Nicole Trutanich
82,1980,Bar Au Chocolat,U.S.A.,2017,Trinidad,Montserrat Hills,0.8,"2- B,S","intense, tangy, alcohol",3.5,"('Bar Au Chocolat', 100)",Bar Au Chocolat,Bar Au Chocolat,Manhattan Beach,California,Nicole Trutanich
83,1840,Batch,U.S.A.,2016,Dominican Republic,"Dominican Republic, Batch 3",0.65,"3- B,S,C","creamy, sweet, fudgey",3.5,"('Batch Craft', 90)",Batch Craft,Batch Craft,Rock Hill,South Carolina,Tamara and Zan
84,1868,Batch,U.S.A.,2016,Brazil,Brazil,0.7,"3- B,S,C","strawberry, candy flavor",3.75,"('Batch Craft', 90)",Batch Craft,Batch Craft,Rock Hill,South Carolina,Tamara and Zan
85,1880,Batch,U.S.A.,2016,Ecuador,Ecuador,0.65,"3- B,S,C","sandy, floral, sweet",3.25,"('Batch Craft', 90)",Batch Craft,Batch Craft,Rock Hill,South Carolina,Tamara and Zan
86,1784,Beehive,U.S.A.,2016,Brazil,"Brazil, Batch 20316",0.8,"3- B,S,C","intense, bitter, dry",2.75,"('Beehive', 100)",Beehive,Beehive,Fort Collins,Colorado,Ian Horvath
87,1784,Beehive,U.S.A.,2016,Dominican Republic,"Dominican Republic, Batch 31616",0.7,"3- B,S,C","sandy, sweet, molasses",2.75,"('Beehive', 100)",Beehive,Beehive,Fort Collins,Colorado,Ian Horvath
88,1784,Beehive,U.S.A.,2016,Ecuador,"Ecuador, Batch 31516",0.7,"3- B,S,C","intense, floral, black pepper",2.75,"('Beehive', 100)",Beehive,Beehive,Fort Collins,Colorado,Ian Horvath
89,1788,Beehive,U.S.A.,2016,Ecuador,Ecuador,0.9,"3- B,S,C","intense floral, bitter, earthy",2.75,"('Beehive', 100)",Beehive,Beehive,Fort Collins,Colorado,Ian Horvath
90,1800,Bellflower,U.S.A.,2016,Tanzania,"Kokao Kamili, Kilombero Valley",0.7,"3- B,S,C","sticky, delicate, melon",3.5,"('Bellflower', 100)",Bellflower,Bellflower,Seattle,Washington,Will Dixon and Callie Neylan
91,1804,Bellflower,U.S.A.,2016,Bolivia,"Alto Beni, Palos Blanco",0.7,"3- B,S,C","oily, complex, pungent",3.25,"('Bellflower', 100)",Bellflower,Bellflower,Seattle,Washington,Will Dixon and Callie Neylan
92,1864,Bellflower,U.S.A.,2016,Dominican Republic,"Oko Caribe, Duarte P.",0.7,"2- B,S","caramel, mild dried fruit",3.5,"('Bellflower', 100)",Bellflower,Bellflower,Seattle,Washington,Will Dixon and Callie Neylan
93,1482,Bisou,U.S.A.,2015,Nicaragua,"Nicaragua, American style",0.76,"2- B,S","bitter, molasses, flour",2.5,"('Bisou', 100)",Bisou,Bisou,Berkeley,California,"Tracey Britton, Eli Curtis"
94,1486,Bisou,U.S.A.,2015,Costa Rica,"San Andres, American style",0.76,"2- B,S","molasses, metallic, earthy",2.5,"('Bisou', 100)",Bisou,Bisou,Berkeley,California,"Tracey Britton, Eli Curtis"
95,1486,Bisou,U.S.A.,2015,Costa Rica,"San Andres, silk",0.78,"4- B,S,C,V","sour, tart, molasses",2.5,"('Bisou', 100)",Bisou,Bisou,Berkeley,California,"Tracey Britton, Eli Curtis"
96,1486,Bisou,U.S.A.,2015,Belize,Belize,0.86,"4- B,S,C,V","mild bitter, diluted, vanilla",3.25,"('Bisou', 100)",Bisou,Bisou,Berkeley,California,"Tracey Britton, Eli Curtis"
97,233,Bittersweet Origins,U.S.A.,2008,Madagascar,Sambirano,0.71,"2- B,S","rich cocoa, red berry, sour",3.0,"('Bittersweet Origins (closed)', 95)",Bittersweet Origins (closed),Bittersweet Origins (closed),Oakland,California,Seneca Klassen
98,233,Bittersweet Origins,U.S.A.,2008,Panama,Bocas del Toro,0.75,"2- B,S","intense, rum, tea",3.5,"('Bittersweet Origins (closed)', 95)",Bittersweet Origins (closed),Bittersweet Origins (closed),Oakland,California,Seneca Klassen
99,233,Bittersweet Origins,U.S.A.,2008,Dominican Republic,Puerto Plata,0.68,"2- B,S","nutty, astringent",3.75,"('Bittersweet Origins (closed)', 95)",Bittersweet Origins (closed),Bittersweet Origins (closed),Oakland,California,Seneca Klassen
100,256,Bittersweet Origins,U.S.A.,2008,Ghana,Ankasa,0.7,"2- B,S","nutmeg, sour",3.0,"('Bittersweet Origins (closed)', 95)",Bittersweet Origins (closed),Bittersweet Origins (closed),Oakland,California,Seneca Klassen
101,414,Bittersweet Origins,U.S.A.,2009,Dominican Republic,Puerto Plata,0.75,"2- B,S","chalky, strong, harsh smoke",3.0,"('Bittersweet Origins (closed)', 95)",Bittersweet Origins (closed),Bittersweet Origins (closed),Oakland,California,Seneca Klassen
102,414,Bittersweet Origins,U.S.A.,2009,Dominican Republic,Puerto Plata,0.65,"2- B,S","intense marshmallow, cocoa",3.5,"('Bittersweet Origins (closed)', 95)",Bittersweet Origins (closed),Bittersweet Origins (closed),Oakland,California,Seneca Klassen
103,423,Bittersweet Origins,U.S.A.,2009,Madagascar,Sambirano,0.75,"2- B,S","rustic, red berry, woody",3.25,"('Bittersweet Origins (closed)', 95)",Bittersweet Origins (closed),Bittersweet Origins (closed),Oakland,California,Seneca Klassen
104,431,Bittersweet Origins,U.S.A.,2009,Madagascar,Sambirano,0.65,"2- B,S",chocolate covered cherries,3.5,"('Bittersweet Origins (closed)', 95)",Bittersweet Origins (closed),Bittersweet Origins (closed),Oakland,California,Seneca Klassen
105,478,Bittersweet Origins,U.S.A.,2010,Indonesia,"Bali, Singaraja",0.75,"2- B,S","dry, cardamom, medicinal",3.25,"('Bittersweet Origins (closed)', 95)",Bittersweet Origins (closed),Bittersweet Origins (closed),Oakland,California,Seneca Klassen
106,502,Bittersweet Origins,U.S.A.,2010,Blend,"2009 Hapa Nibby, Dominican Rep., Bali",0.7,"2- B,S","robust, cocoa, fruity",3.75,"('Bittersweet Origins (closed)', 95)",Bittersweet Origins (closed),Bittersweet Origins (closed),Oakland,California,Seneca Klassen
107,558,Bittersweet Origins,U.S.A.,2010,Indonesia,"Bali, Singaraja",0.65,"2- B,S","pastey, off spicey, nutty",2.75,"('Bittersweet Origins (closed)', 95)",Bittersweet Origins (closed),Bittersweet Origins (closed),Oakland,California,Seneca Klassen
108,565,Bittersweet Origins,U.S.A.,2010,Madagascar,"Sambirano, 2009",0.7,"2- B,S","red berry, strong wine, sour",3.0,"('Bittersweet Origins (closed)', 95)",Bittersweet Origins (closed),Bittersweet Origins (closed),Oakland,California,Seneca Klassen
109,565,Bittersweet Origins,U.S.A.,2010,Venezuela,"Ocumare, prototype",0.78,"2- B,S","nutty, mild bitter",3.0,"('Bittersweet Origins (closed)', 95)",Bittersweet Origins (closed),Bittersweet Origins (closed),Oakland,California,Seneca Klassen
110,963,Bittersweet Origins,U.S.A.,2012,Ghana,Ghana,0.72,"3- B,S,C","roasted nuts, rich, roasty",3.5,"('Bittersweet Origins (closed)', 95)",Bittersweet Origins (closed),Bittersweet Origins (closed),Oakland,California,Seneca Klassen
111,2108,Bixby,U.S.A.,2018,Haiti,Haiti,0.7,"2- B,S","floral, molasses, chemical",3.0,"('Bixby & Co.', 90)",Bixby & Co.,Bixby & Co.,Rockland,Maine,Kate McAleer
112,2114,Bixby,U.S.A.,2018,Guatemala,Guatemala,0.7,"2- B,S","molasses, earthy, spicy",3.0,"('Bixby & Co.', 90)",Bixby & Co.,Bixby & Co.,Rockland,Maine,Kate McAleer
113,2114,Bixby,U.S.A.,2018,Dominican Republic,Dominican Republic,0.7,"2- B,S","sweet, sour milk",3.25,"('Bixby & Co.', 90)",Bixby & Co.,Bixby & Co.,Rockland,Maine,Kate McAleer
114,2422,Bixby,U.S.A.,2019,Belize,Belize,0.7,"2- B,S","off, rubbery, burnt molasses",2.75,"('Bixby & Co.', 90)",Bixby & Co.,Bixby & Co.,Rockland,Maine,Kate McAleer
115,256,Black Mountain,U.S.A.,2008,Dominican Republic,La Red,0.7,"3- B,S,C","unrefined, fruity",2.75,"('Black Mountain', 100)",Black Mountain,Black Mountain,Swamanoa,North Carolina,Brent Peters
116,256,Black Mountain,U.S.A.,2008,Venezuela,Carenero Superior,0.7,"3- B,S,C","sweet grass, muted spice",2.75,"('Black Mountain', 100)",Black Mountain,Black Mountain,Swamanoa,North Carolina,Brent Peters
117,256,Black Mountain,U.S.A.,2008,Nicaragua,Matiguas,0.7,"3- B,S,C","rich, leather, woodsy",3.0,"('Black Mountain', 100)",Black Mountain,Black Mountain,Swamanoa,North Carolina,Brent Peters
118,2574,Black Mountain,U.S.A.,2021,Dominican Republic,"""Cocoa Nibs"", Hispaniola w/ nibs",0.7,"4- B,S,C,L","bright fruit, crisp nibs, cocoa",3.75,"('Black Mountain', 100)",Black Mountain,Black Mountain,Swamanoa,North Carolina,Brent Peters
119,2590,Black Sheep,U.S.A.,2021,Colombia,"Sierra Nevada, batch 92",0.72,"3- B,S,C","burnt caramel, cocoa, floral",3.25,"('Black Sheep', 100)",Black Sheep,Black Sheep,Bend,Oregon,Tom Seeley and Cecelia Marques
120,2590,Black Sheep,U.S.A.,2021,Belize,"Maya Mountain, batch 98",0.72,"3- B,S,C",honey with subtle tobacco,3.25,"('Black Sheep', 100)",Black Sheep,Black Sheep,Bend,Oregon,Tom Seeley and Cecelia Marques
